Terim_TR,StandartKarsilik_EN,Terim_ES,Terim_PT,Terim_RU,KisaKod,NamingToken_TR,KullanimTipi,KategoriKumesi,Kaynak
MaliyetMerkezi,CostCentre,CostCentre,CostCentre,CostCentre,,MaliyetMerkezi,param_ad,Shared Parameter,semantic_dictionary
MaliyetNotu,CostNote,CostNote,CostNote,CostNote,,MaliyetNotu,param_ad,Shared Parameter,semantic_dictionary
Malzeme,Material,Material,Material,Материал,,Malzeme,token,Param Token,semantic_dictionary
Malzeme sınıf adı,Material class name,material clase nombre,material classe nome,материал класс имя,,Malzemesinifadi,aciklama,Description,semantic_dictionary
Malzeme sınıf kodu,Material class code,material clase código,material classe código,материал класс код,,Malzemesinifkodu,aciklama,Description,semantic_dictionary
Malzemesi,Material,Material,Material,Material,,Malzemesi,token,Param Token,semantic_dictionary
MalzemeSinifAdi,MaterialClassName,MaterialClassName,MaterialClassName,MaterialClassName,,MalzemeSinifAdi,param_ad,Shared Parameter,semantic_dictionary
MalzemeSinifKodu,MaterialClassCode,MaterialClassCode,MaterialClassCode,MaterialClassCode,,MalzemeSinifKodu,param_ad,Shared Parameter,semantic_dictionary
Max,Maximum,Maximum,Maximum,Maximum,,Max,token,Param Token,semantic_dictionary
MaxYukseklik,MaximumHeight,MaximumHeight,MaximumHeight,MaximumHeight,,MaxYukseklik,param_ad,Shared Parameter,semantic_dictionary
Mek,Mechanical,Mechanical,Mechanical,Mechanical,,Mek,token,Param Token,semantic_dictionary
MekanikMuhendis,MechanicalEngineerFullName,MechanicalEngineerFullName,MechanicalEngineerFullName,MechanicalEngineerFullName,,MekanikMuhendis,param_ad,Shared Parameter,semantic_dictionary
MekanikOdaNo,MechanicalEngineerLicenseNumber,MechanicalEngineerLicenseNumber,MechanicalEngineerLicenseNumber,MechanicalEngineerLicenseNumber,,MekanikOdaNo,param_ad,Shared Parameter,semantic_dictionary
MEP,MEP,MEP,MEP,MEP,,MEP,token,Param Token,semantic_dictionary
MEP hesap raporu belge numarası,MEP calculation report document number,MEP cálculo report documento número,MEP cálculo report documento número,MEP расчет report документ номер,,MEPhesapraporubelgenumarasi,aciklama,Description,semantic_dictionary
MEP model versiyon no,MEP model version number,MEP modelo versión número,MEP modelo versão número,MEP модель версия номер,,MEPmodelversiyonno,aciklama,Description,semantic_dictionary
MEP_Aciklama,MEPNote,MEPNote,MEPNote,MEPNote,,MEP_Aciklama,param_ad,Shared Parameter,semantic_dictionary
MEP_Birim,MEPUnit,MEPUnit,MEPUnit,MEPUnit,,MEP_Birim,param_ad,Shared Parameter,semantic_dictionary
MEP_BirimFiyat,MEPUnitPrice,MEPUnitPrice,MEPUnitPrice,MEPUnitPrice,,MEP_BirimFiyat,param_ad,Shared Parameter,semantic_dictionary
MEP_ClashCozulduMu,MEPClashResolved,MEPClashResolved,MEPClashResolved,MEPClashResolved,,MEP_ClashCozulduMu,param_ad,Shared Parameter,semantic_dictionary
MEP_ClashDurumu,MEPClashStatus,MEPClashStatus,MEPClashStatus,MEPClashStatus,,MEP_ClashDurumu,param_ad,Shared Parameter,semantic_dictionary
MEP_ClashTespitTarihi,MEPClashDetectionDate,MEPClashDetectionDate,MEPClashDetectionDate,MEPClashDetectionDate,,MEP_ClashTespitTarihi,param_ad,Shared Parameter,semantic_dictionary
MEP_ElkMuhendis,MEPElectricalEngineer,MEPElectricalEngineer,MEPElectricalEngineer,MEPElectricalEngineer,,MEP_ElkMuhendis,param_ad,Shared Parameter,semantic_dictionary
MEP_ElkOdaNo,ElectricalEngineerLicenseNumber,ElectricalEngineerLicenseNumber,ElectricalEngineerLicenseNumber,ElectricalEngineerLicenseNumber,,MEP_ElkOdaNo,param_ad,Shared Parameter,semantic_dictionary
MEP_HesapModelID,MEPCalculationModelID,MEPCalculationModelID,MEPCalculationModelID,MEPCalculationModelID,,MEP_HesapModelID,param_ad,Shared Parameter,semantic_dictionary
MEP_HesapRaporNo,MEPCalculationReportNumber,MEPCalculationReportNumber,MEPCalculationReportNumber,MEPCalculationReportNumber,,MEP_HesapRaporNo,param_ad,Shared Parameter,semantic_dictionary
MEP_IFCExportSinifi,MEPIFCExportClass,MEPIFCExportClass,MEPIFCExportClass,MEPIFCExportClass,,MEP_IFCExportSinifi,param_ad,Shared Parameter,semantic_dictionary
MEP_IFCSurumu,MEPIFCVersion,MEPIFCVersion,MEPIFCVersion,MEPIFCVersion,,MEP_IFCSurumu,param_ad,Shared Parameter,semantic_dictionary
MEP_KontrolDurumu,MEPReviewStatus,MEPReviewStatus,MEPReviewStatus,MEPReviewStatus,,MEP_KontrolDurumu,param_ad,Shared Parameter,semantic_dictionary
MEP_KontrolEden,MEPCheckedBy,MEPCheckedBy,MEPCheckedBy,MEPCheckedBy,,MEP_KontrolEden,param_ad,Shared Parameter,semantic_dictionary
MEP_KontrolTarihi,MEPCheckDate,MEPCheckDate,MEPCheckDate,MEPCheckDate,,MEP_KontrolTarihi,param_ad,Shared Parameter,semantic_dictionary
MEP_KoordinasyonDurumu,MEPCoordinationStatus,MEPCoordinationStatus,MEPCoordinationStatus,MEPCoordinationStatus,,MEP_KoordinasyonDurumu,param_ad,Shared Parameter,semantic_dictionary
MEP_MekMuhendis,MEPMechanicalEngineer,MEPMechanicalEngineer,MEPMechanicalEngineer,MEPMechanicalEngineer,,MEP_MekMuhendis,param_ad,Shared Parameter,semantic_dictionary
MEP_MekOdaNo,MechanicalEngineerLicenseNumber,MechanicalEngineerLicenseNumber,MechanicalEngineerLicenseNumber,MechanicalEngineerLicenseNumber,,MEP_MekOdaNo,param_ad,Shared Parameter,semantic_dictionary
MEP_Miktar,MEPQuantity,MEPQuantity,MEPQuantity,MEPQuantity,,MEP_Miktar,param_ad,Shared Parameter,semantic_dictionary
MEP_ModelVersiyonu,MEPModelVersion,MEPModelVersion,MEPModelVersion,MEPModelVersion,,MEP_ModelVersiyonu,param_ad,Shared Parameter,semantic_dictionary
MEP_Onaylayan,MEPApprovedBy,MEPApprovedBy,MEPApprovedBy,MEPApprovedBy,,MEP_Onaylayan,param_ad,Shared Parameter,semantic_dictionary
MEP_OnayTarihi,MEPApprovalDate,MEPApprovalDate,MEPApprovalDate,MEPApprovalDate,,MEP_OnayTarihi,param_ad,Shared Parameter,semantic_dictionary
MEP_PozAdi,MEPItemName,MEPItemName,MEPItemName,MEPItemName,,MEP_PozAdi,param_ad,Shared Parameter,semantic_dictionary
MEP_PozNo,MEPItemNumber,MEPItemNumber,MEPItemNumber,MEPItemNumber,,MEP_PozNo,param_ad,Shared Parameter,semantic_dictionary
MEP_RevizyonGerekiyorMu,MEPRevisionRequired,MEPRevisionRequired,MEPRevisionRequired,MEPRevisionRequired,,MEP_RevizyonGerekiyorMu,param_ad,Shared Parameter,semantic_dictionary
MEP_ToplamTutar,MEPTotalAmount,MEPTotalAmount,MEPTotalAmount,MEPTotalAmount,,MEP_ToplamTutar,param_ad,Shared Parameter,semantic_dictionary
Merdiven,Stair,Escalera,Escada,Лестница,,Merdiven,token,Param Token,semantic_dictionary
Merdiven genişliği (m),Stair width (m),escalera ancho (m),escada largura (m),лестница ширина (m),,Merdivengenisligi(m),aciklama,Description,semantic_dictionary
Merkezi,Centre,Centre,Centre,Centre,,Merkezi,token,Param Token,semantic_dictionary
Mesafesi,Distance,Distance,Distance,Distance,,Mesafesi,token,Param Token,semantic_dictionary
Metraj,Measurement,Measurement,Measurement,Measurement,,Metraj,token,Param Token,semantic_dictionary
Metraj alma kuralı / ölçü kuralı,Quantity take-off rule / measurement rule,Quantity take-off regla / measurement regla,Quantity take-off regra / measurement regra,Quantity take-off правило / measurement правило,,Metrajalmakurali/olcukurali,aciklama,Description,semantic_dictionary
Metraj birimi,Measurement unit,Measurement unidad,Measurement unidade,Measurement единица,,Metrajbirimi,aciklama,Description,semantic_dictionary
Metraj programına dahil mi?,Included in quantity take-off schedule?,Included in quantity take-off schedule?,Included in quantity take-off schedule?,Included in quantity take-off schedule?,,Metrajprograminadahilmi?,aciklama,Description,semantic_dictionary
Metraj çarpanı,Measurement factor / multiplier,Measurement factor / multiplier,Measurement factor / multiplier,Measurement factor / multiplier,,Metrajcarpani,aciklama,Description,semantic_dictionary
Metraja dahil mi?,Included in quantity take-off?,Included in quantity take-off?,Included in quantity take-off?,Included in quantity take-off?,,Metrajadahilmi?,aciklama,Description,semantic_dictionary
MetrajBirim,MeasurementUnit,MeasurementUnit,MeasurementUnit,MeasurementUnit,,MetrajBirim,param_ad,Shared Parameter,semantic_dictionary
MetrajCarpan,MeasurementFactor,MeasurementFactor,MeasurementFactor,MeasurementFactor,,MetrajCarpan,param_ad,Shared Parameter,semantic_dictionary
MetrajDahil,IncludedInQTO,IncludedInQTO,IncludedInQTO,IncludedInQTO,,MetrajDahil,param_ad,Shared Parameter,semantic_dictionary
MetrajKurali,MeasurementRule,MeasurementRule,MeasurementRule,MeasurementRule,,MetrajKurali,param_ad,Shared Parameter,semantic_dictionary
Mi,Signage,Signage,Signage,Signage,,Mi,token,Param Token,semantic_dictionary
Miktar,Quantity,Quantity,Quantity,Quantity,,Miktar,token,Param Token,semantic_dictionary
Miktar (hesaplanan),Quantity (calculated),Quantity (calculated),Quantity (calculated),Quantity (calculated),,Miktar(hesaplanan),aciklama,Description,semantic_dictionary
Mimar,Architect,Arquitecto,Arquiteto,Архитектор,,Mimar,token,Param Token,semantic_dictionary
MimarAdSoyad,ArchitectFullName,ArchitectFullName,ArchitectFullName,ArchitectFullName,,MimarAdSoyad,param_ad,Shared Parameter,semantic_dictionary
MimarOdaNo,ArchitectLicenseNumber,ArchitectLicenseNumber,ArchitectLicenseNumber,ArchitectLicenseNumber,,MimarOdaNo,param_ad,Shared Parameter,semantic_dictionary
MMO sicil no,Chamber of Mechanical Engineers license number,Chamber of mecánico Engineers license número,Chamber of mecânico Engineers license número,Chamber of механический Engineers license номер,,MMOsicilno,aciklama,Description,semantic_dictionary
Model,Model,Model,Model,Model,,Model,token,Param Token,semantic_dictionary
Model durum kodu S0/S1/S2/S3/S4,Model status code S0/S1/S2/S3/S4,modelo estado código S0/S1/S2/S3/S4,modelo estado código S0/S1/S2/S3/S4,модель статус код S0/S1/S2/S3/S4,,ModeldurumkoduS0/S1/S2/S3/S4,aciklama,Description,semantic_dictionary
Model oluşturma tarihi (YYYY-AA-GG),Model creation date (YYYY-MM-DD),modelo creation fecha (YYYY-MM-DD),modelo creation data (YYYY-MM-DD),модель creation дата (YYYY-MM-DD),,Modelolusturmatarihi(YYYY-AA-GG),aciklama,Description,semantic_dictionary
ModelDurumu,ModelStatus,ModelStatus,ModelStatus,ModelStatus,,ModelDurumu,param_ad,Shared Parameter,semantic_dictionary
Modelin yerel koordinatı ve başlangıç noktası kontrol edildi mi?,Has the model's local coordinate and origin been checked?,Has the modelo's local coordinate and origin been revisado?,Has the modelo's local coordinate and origin been verificado?,Has the модель's local coordinate and origin been проверено?,,Modelinyerelkoordinativebaslangicnoktasikontroledildimi?,aciklama,Description,semantic_dictionary
ModelSorumlusu,ModelManager,ModelManager,ModelManager,ModelManager,,ModelSorumlusu,param_ad,Shared Parameter,semantic_dictionary
Montaj Yüksekliği,Mounting Height,Altura de montaje,Altura de montagem,Высота монтажа,,MontajYuksekligi,manual_seed,Multilingual,manual+research_seed
Muhendis,Engineer,Engineer,Engineer,Engineer,,Muhendis,token,Param Token,semantic_dictionary
Muteahhit,Contractor,Contractor,Contractor,Contractor,,Muteahhit,token,Param Token,semantic_dictionary
MuteahhitUnvani,ContractorTitle,ContractorTitle,ContractorTitle,ContractorTitle,,MuteahhitUnvani,param_ad,Shared Parameter,semantic_dictionary
MuteahhitYKN,ContractorBuildingIdentityNumber,ContractorBuildingIdentityNumber,ContractorBuildingIdentityNumber,ContractorBuildingIdentityNumber,,MuteahhitYKN,param_ad,Shared Parameter,semantic_dictionary
Müteahhit firma ünvanı,Contractor company title,Contractor company title,Contractor company title,Contractor company title,,Muteahhitfirmaunvani,aciklama,Description,semantic_dictionary
Müteahhit YKN (Yapı Kimlik No),Contractor YKN (Building Identity Number),Contractor YKN (edificio Identity número),Contractor YKN (edifício Identity número),Contractor YKN (здание Identity номер),,MuteahhitYKN(YapiKimlikNo),aciklama,Description,semantic_dictionary
Name,Name,Name,Name,Name,,Name,token,Param Token,semantic_dictionary
Nesne/ad/tip adlandırması tutarlı mı?,Is the object / name / type naming consistent?,Is the object / nombre / tipo naming consistent?,Is the object / nome / tipo naming consistent?,Is the object / имя / тип naming consistent?,,Nesne/ad/tipadlandirmasitutarlimi?,aciklama,Description,semantic_dictionary
Net,Net,Net,Net,Net,,Net,token,Param Token,semantic_dictionary
Net alan (m2),Net floor area (m2),Net piso área (m2),Net andar área (m2),Net этаж площадь (m2),,Netalan(m2),aciklama,Description,semantic_dictionary
Net kat yüksekliği (m),Net storey height (m),Net storey altura (m),Net storey altura (m),Net storey высота (m),,Netkatyuksekligi(m),aciklama,Description,semantic_dictionary
NetAlan,NetArea,NetArea,NetArea,NetArea,,NetAlan,param_ad,Shared Parameter,semantic_dictionary
No,Number,Número,Número,Номер,,No,token,Param Token,semantic_dictionary
Nominal beton örtüsü (mm) — TS 500 Tablo 3,Nominal concrete cover (mm) per TS 500 Table 3,nominal hormigón recubrimiento (mm) per TS 500 Table 3,nominal betão cobrimento (mm) per TS 500 Table 3,номинальный бетон защитный слой (mm) per TS 500 Table 3,,Nominalbetonortusu(mm)—TS500Tablo3,aciklama,Description,semantic_dictionary
Not,Note,Note,Note,Note,,Not,token,Param Token,semantic_dictionary
Notu,Note,Note,Note,Note,,Notu,token,Param Token,semantic_dictionary
Object,Object,Object,Object,Object,,Object,token,Param Token,semantic_dictionary
Oda,Room,Habitación,Ambiente,Помещение,,Oda,token,Param Token,semantic_dictionary
Olcek,Scale,Scale,Scale,Scale,,Olcek,param_ad,Shared Parameter,semantic_dictionary
Olusturma,Creation,Creation,Creation,Creation,,Olusturma,token,Param Token,semantic_dictionary
OlusturmaTarihi,CreationDate,CreationDate,CreationDate,CreationDate,,OlusturmaTarihi,param_ad,Shared Parameter,semantic_dictionary
On,Front,Front,Front,Front,,On,token,Param Token,semantic_dictionary
Onay,Approval,Approval,Approval,Approval,,Onay,token,Param Token,semantic_dictionary
Onay tarihi (YYYY-AA-GG),Approval date (YYYY-MM-DD),aprobación fecha (YYYY-MM-DD),aprovação data (YYYY-MM-DD),утверждение дата (YYYY-MM-DD),,Onaytarihi(YYYY-AA-GG),aciklama,Description,semantic_dictionary
Onaylayan mühendis adı soyadı,Approving engineer full name,Approving ingeniero completo nombre,Approving engenheiro completo nome,Approving инженер полный имя,,Onaylayanmuhendisadisoyadi,aciklama,Description,semantic_dictionary
OnCekmeMesafesi,FrontSetbackDistance,FrontSetbackDistance,FrontSetbackDistance,FrontSetbackDistance,,OnCekmeMesafesi,param_ad,Shared Parameter,semantic_dictionary
Override,Override,Override,Override,Override,,Override,token,Param Token,semantic_dictionary
Paket,Package,Package,Package,Package,,Paket,token,Param Token,semantic_dictionary
Panik,Panic,Panic,Panic,Panic,,Panik,token,Param Token,semantic_dictionary
Panik bar var mı?,Is there a panic bar?,Is there a panic barra?,Is there a panic barra?,Is there a panic стержень?,,Panikbarvarmi?,aciklama,Description,semantic_dictionary
Pano,Panel,Panel,Panel,Panel,,Pano,token,Param Token,semantic_dictionary
Parsel,Parcel,Parcel,Parcel,Parcel,,Parsel,token,Param Token,semantic_dictionary
Parsel numarası,Parcel number,Parcel número,Parcel número,Parcel номер,,Parselnumarasi,aciklama,Description,semantic_dictionary
ParselNo,ParcelNumber,ParcelNumber,ParcelNumber,ParcelNumber,,ParselNo,param_ad,Shared Parameter,semantic_dictionary
Pas payı TS 500 Tablo 3 kontrolü geçti mi?,Concrete cover passed TS 500 Table 3 check?,hormigón recubrimiento passed TS 500 Table 3 control?,betão cobrimento passed TS 500 Table 3 verificação?,бетон защитный слой passed TS 500 Table 3 проверка?,,PaspayiTS500Tablo3kontrolugectimi?,aciklama,Description,semantic_dictionary
Pencere,Window,Ventana,Janela,Окно,PENC,Pencere,token,Param Token,semantic_dictionary
Pencere genişliği (mm),Window width (mm),ventana ancho (mm),janela largura (mm),окно ширина (mm),,Penceregenisligi(mm),aciklama,Description,semantic_dictionary
Pencere tipi: Alüm/PVC/Ahşap/Cam Giyd,Window type: Aluminium / PVC / Timber / Curtain wall,ventana tipo: Aluminium / PVC / Timber / Curtain muro,janela tipo: Aluminium / PVC / Timber / Curtain parede,окно тип: Aluminium / PVC / Timber / Curtain стена,,Penceretipi:Alum/PVC/Ahsap/CamGiyd,aciklama,Description,semantic_dictionary
Pencere Uw değeri (W/m2K),Window Uw value (W/m2K),ventana Uw valor (W/m2K),janela Uw valor (W/m2K),окно Uw значение (W/m2K),,PencereUwdegeri(W/m2K),aciklama,Description,semantic_dictionary
Pencere yüksekliği (mm),Window height (mm),ventana altura (mm),janela altura (mm),окно высота (mm),,Pencereyuksekligi(mm),aciklama,Description,semantic_dictionary
PencereAcilmaTipi,WindowOpeningType,WindowOpeningType,WindowOpeningType,WindowOpeningType,,PencereAcilmaTipi,param_ad,Shared Parameter,semantic_dictionary
PencereCamTipi,WindowGlassType,WindowGlassType,WindowGlassType,WindowGlassType,,PencereCamTipi,param_ad,Shared Parameter,semantic_dictionary
PencereCerceveSistemi,WindowFrameSystem,WindowFrameSystem,WindowFrameSystem,WindowFrameSystem,,PencereCerceveSistemi,param_ad,Shared Parameter,semantic_dictionary
PencereEmniyet,WindowSafetyGlazing,WindowSafetyGlazing,WindowSafetyGlazing,WindowSafetyGlazing,,PencereEmniyet,param_ad,Shared Parameter,semantic_dictionary
PencereGenislik,WindowWidth,WindowWidth,WindowWidth,WindowWidth,,PencereGenislik,param_ad,Shared Parameter,semantic_dictionary
PencerePozNo,WindowItemNumber,WindowItemNumber,WindowItemNumber,WindowItemNumber,,PencerePozNo,param_ad,Shared Parameter,semantic_dictionary
PencereSesYalitim,WindowAcousticInsulation,WindowAcousticInsulation,WindowAcousticInsulation,WindowAcousticInsulation,,PencereSesYalitim,param_ad,Shared Parameter,semantic_dictionary
PencereSHGC,WindowSHGC,WindowSHGC,WindowSHGC,WindowSHGC,,PencereSHGC,param_ad,Shared Parameter,semantic_dictionary
PencereTipi,WindowType,WindowType,WindowType,WindowType,,PencereTipi,param_ad,Shared Parameter,semantic_dictionary
PencereUDegeri,WindowUValue,WindowUValue,WindowUValue,WindowUValue,,PencereUDegeri,param_ad,Shared Parameter,semantic_dictionary
PencereUretici,WindowManufacturer,WindowManufacturer,WindowManufacturer,WindowManufacturer,,PencereUretici,param_ad,Shared Parameter,semantic_dictionary
PencereYukseklik,WindowHeight,WindowHeight,WindowHeight,WindowHeight,,PencereYukseklik,param_ad,Shared Parameter,semantic_dictionary
Perde duvar kalınlığı (mm) — TBDY min. 200mm,Shear wall thickness (mm) — TBDY min. 200mm,cortante muro espesor (mm) — TBDY min. 200mm,cisalhamento parede espessura (mm) — TBDY min. 200mm,сдвиг стена толщина (mm) — TBDY min. 200mm,,Perdeduvarkalinligi(mm)—TBDYmin.200mm,aciklama,Description,semantic_dictionary
Perde duvar sistemi,Shear wall system,cortante muro sistema,cisalhamento parede sistema,сдвиг стена система,,Perdeduvarsistemi,aciklama,Description,semantic_dictionary
PGA,PGA,PGA,PGA,PGA,,PGA,token,Param Token,semantic_dictionary
PGA (g) tepe zemin ivmesi,Peak ground acceleration PGA (g),Peak ground acceleration PGA (g),Peak ground acceleration PGA (g),Peak ground acceleration PGA (g),,PGA(g)tepezeminivmesi,aciklama,Description,semantic_dictionary
Pilye donatısı var mı?,Are there bent-up bars?,Are there doblada-superior bars?,Are there dobrada-superior bars?,Are there гнутая-верхний bars?,,Pilyedonatisivarmi?,aciklama,Description,semantic_dictionary
Pis su boru eğimi (%),Soil pipe gradient (%),suelo tubería gradient (%),solo tubulação gradient (%),грунт труба gradient (%),,Pissuboruegimi(%),aciklama,Description,semantic_dictionary
Planlı / Kalıp / Beton / Tamamlandı,Planned / Formwork / Concreted / Completed,Planned / Formwork / Concreted / Completed,Planned / Formwork / Concreted / Completed,Planned / Formwork / Concreted / Completed,,Planli/Kalip/Beton/Tamamlandi,aciklama,Description,semantic_dictionary
PoE (Power over Ethernet) var mı?,Is there PoE (Power over Ethernet)?,Is there PoE (Power over Ethernet)?,Is there PoE (Power over Ethernet)?,Is there PoE (Power over Ethernet)?,,PoE(PoweroverEthernet)varmi?,aciklama,Description,semantic_dictionary
Poz,Item,Item,Item,Item,,Poz,token,Param Token,semantic_dictionary
Poz adı,Unit price item name,unidad price item nombre,unidade price item nome,единица price item имя,,Pozadi,aciklama,Description,semantic_dictionary
Poz adı (birim fiyat kitabına göre),Unit price item name (per price schedule),unidad price item nombre (per price schedule),unidade price item nome (per price schedule),единица price item имя (per price schedule),,Pozadi(birimfiyatkitabinagore),aciklama,Description,semantic_dictionary
Poz açıklama notu,Unit price item description note,unidad price item descripción nota,unidade price item descrição nota,единица price item описание примечание,,Pozaciklamanotu,aciklama,Description,semantic_dictionary
Poz numarası,Unit price item number,unidad price item número,unidade price item número,единица price item номер,,Poznumarasi,aciklama,Description,semantic_dictionary
Poz tanımı,Unit price item definition,unidad price item definition,unidade price item definition,единица price item definition,,Poztanimi,aciklama,Description,semantic_dictionary
Poz ölçü birimi,Unit price item unit of measure,unidad price item unidad of measure,unidade price item unidade of measure,единица price item единица of measure,,Pozolcubirimi,aciklama,Description,semantic_dictionary
PozAdi,ItemName,ItemName,ItemName,ItemName,,PozAdi,param_ad,Shared Parameter,semantic_dictionary
PozBirim,ItemUnit,ItemUnit,ItemUnit,ItemUnit,,PozBirim,param_ad,Shared Parameter,semantic_dictionary
PozBirimFiyat,ItemUnitPrice,ItemUnitPrice,ItemUnitPrice,ItemUnitPrice,,PozBirimFiyat,param_ad,Shared Parameter,semantic_dictionary
PozDahilMi,ItemIncluded,ItemIncluded,ItemIncluded,ItemIncluded,,PozDahilMi,param_ad,Shared Parameter,semantic_dictionary
PozImalatTuru,ItemWorkType,ItemWorkType,ItemWorkType,ItemWorkType,,PozImalatTuru,param_ad,Shared Parameter,semantic_dictionary
PozMahalNo,ItemRoomNumber,ItemRoomNumber,ItemRoomNumber,ItemRoomNumber,,PozMahalNo,param_ad,Shared Parameter,semantic_dictionary
PozMiktar,ItemQuantity,ItemQuantity,ItemQuantity,ItemQuantity,,PozMiktar,param_ad,Shared Parameter,semantic_dictionary
PozNo,ItemNumber,ItemNumber,ItemNumber,ItemNumber,,PozNo,param_ad,Shared Parameter,semantic_dictionary
PozNot,ItemNote,ItemNote,ItemNote,ItemNote,,PozNot,param_ad,Shared Parameter,semantic_dictionary
PozToplamTutar,ItemTotalAmount,ItemTotalAmount,ItemTotalAmount,ItemTotalAmount,,PozToplamTutar,param_ad,Shared Parameter,semantic_dictionary
Pozun ait olduğu alt mantıksal grup,Sub-group the item belongs to,Sub-grupo the item belongs to,Sub-grupo the item belongs to,Sub-группа the item belongs to,,Pozunaitoldugualtmantiksalgrup,aciklama,Description,semantic_dictionary
Pozun ait olduğu ana mantıksal grup,Primary logical group the item belongs to,Primary logical grupo the item belongs to,Primary logical grupo the item belongs to,Primary logical группа the item belongs to,,Pozunaitolduguanamantiksalgrup,aciklama,Description,semantic_dictionary
Precast,Is,Is,Is,Is,,Precast,token,Param Token,semantic_dictionary
Predefined,Predefined,Predefined,Predefined,Predefined,,Predefined,token,Param Token,semantic_dictionary
Prefabrik/precast eleman mi?,Is it a prefabricated / precast element?,Is it a prefabricated / prefabricado elemento?,Is it a prefabricated / pré-moldado elemento?,Is it a prefabricated / сборный элемент?,,Prefabrik/precastelemanmi?,aciklama,Description,semantic_dictionary
Primary,Primary,Primary,Primary,Primary,,Primary,token,Param Token,semantic_dictionary
PrimaryEnerjiTuketim,PrimaryEnergyConsumption,PrimaryEnergyConsumption,PrimaryEnergyConsumption,PrimaryEnergyConsumption,,PrimaryEnerjiTuketim,param_ad,Shared Parameter,semantic_dictionary
Priz,Socket,Toma de corriente,Tomada,Розетка,PRIZ,Priz,manual_seed,Multilingual,manual+research_seed
Proje,Project,Proyecto,Projeto,Проект,,Proje,token,Param Token,semantic_dictionary
Proje fazı (Var/Yıkılacak/Yeni İnşaat),Project phase (Existing / To be demolished / New construction),proyecto fase (Existing / To be demolished / New construcción),projeto fase (Existing / To be demolished / New construção),проект фаза (Existing / To be demolished / New строительство),,Projefazi(Var/Yikilacak/YeniInsaat),aciklama,Description,semantic_dictionary
Proje numarası (ÇŞB/İdare kodu),Project number (MoEUA / administration code),proyecto número (MoEUA / administration código),projeto número (MoEUA / administration código),проект номер (MoEUA / administration код),,Projenumarasi(CSB/Idarekodu),aciklama,Description,semantic_dictionary
ProjeAdi,ProjectName,ProjectName,ProjectName,ProjectName,,ProjeAdi,param_ad,Shared Parameter,semantic_dictionary
ProjeAsamasi,ProjectStage,ProjectStage,ProjectStage,ProjectStage,,ProjeAsamasi,param_ad,Shared Parameter,semantic_dictionary
Projede kullanılan beton sınıfları (C25/30 vb),Concrete classes used in project (C25/30 etc.),hormigón classes used in proyecto (C25/30 etc.),betão classes used in projeto (C25/30 etc.),бетон classes used in проект (C25/30 etc.),,Projedekullanilanbetonsiniflari(C25/30vb),aciklama,Description,semantic_dictionary
Projenin tam adı,Full project name,completo proyecto nombre,completo projeto nome,полный проект имя,,Projenintamadi,aciklama,Description,semantic_dictionary
ProjeNo,ProjectNumber,ProjectNumber,ProjectNumber,ProjectNumber,,ProjeNo,param_ad,Shared Parameter,semantic_dictionary
ProjeRevizyon,ProjectRevision,ProjectRevision,ProjectRevision,ProjectRevision,,ProjeRevizyon,param_ad,Shared Parameter,semantic_dictionary
ProjeSahibi,ProjectOwner,ProjectOwner,ProjectOwner,ProjectOwner,,ProjeSahibi,param_ad,Shared Parameter,semantic_dictionary
QA,QA,QA,QA,QA,,QA,token,Param Token,semantic_dictionary
QA kontrol tarihi,QA check date,QA control fecha,QA verificação data,QA проверка дата,,QAkontroltarihi,aciklama,Description,semantic_dictionary
QA kontrolünü yapan kişi / ekip,Person / team performing QA check,Person / team performing QA control,Person / team performing QA verificação,Person / team performing QA проверка,,QAkontrolunuyapankisi/ekip,aciklama,Description,semantic_dictionary
QA_AdlandirmaKontrol,QANamingCheck,QANamingCheck,QANamingCheck,QANamingCheck,,QA_AdlandirmaKontrol,param_ad,Shared Parameter,semantic_dictionary
QA_CakismaKopyaKontrol,QAClashDuplicateCheck,QAClashDuplicateCheck,QAClashDuplicateCheck,QAClashDuplicateCheck,,QA_CakismaKopyaKontrol,param_ad,Shared Parameter,semantic_dictionary
QA_DogruIfcTur,QACorrectIFCType,QACorrectIFCType,QACorrectIFCType,QACorrectIFCType,,QA_DogruIfcTur,param_ad,Shared Parameter,semantic_dictionary
QA_DosyaAdiKontrol,QAFileNameCheck,QAFileNameCheck,QAFileNameCheck,QAFileNameCheck,,QA_DosyaAdiKontrol,param_ad,Shared Parameter,semantic_dictionary
QA_FireRating,QAFireRating,QAFireRating,QAFireRating,QAFireRating,,QA_FireRating,param_ad,Shared Parameter,semantic_dictionary
QA_IsExternal,QAIsExternal,QAIsExternal,QAIsExternal,QAIsExternal,,QA_IsExternal,param_ad,Shared Parameter,semantic_dictionary
QA_KatAdlandirmaKontrol,QAStoreyNamingCheck,QAStoreyNamingCheck,QAStoreyNamingCheck,QAStoreyNamingCheck,,QA_KatAdlandirmaKontrol,param_ad,Shared Parameter,semantic_dictionary
QA_KontrolEden,QACheckedBy,QACheckedBy,QACheckedBy,QACheckedBy,,QA_KontrolEden,param_ad,Shared Parameter,semantic_dictionary
QA_KontrolTarihi,QACheckDate,QACheckDate,QACheckDate,QACheckDate,,QA_KontrolTarihi,param_ad,Shared Parameter,semantic_dictionary
